COD_DANE_A,MPIO_CDPMP,CLAS_CCDGO,TVIVIENDA,TP16_HOG,TP19_EE_1,TP19_EE_E1,TP19_EE_E2,TP19_EE_E3,TP19_EE_E4,TP19_EE_E5,TP19_EE_E6,TP27_PERSO,area_ha,medidores,med_residencial,med_comercial,med_industrial,med_dentro,med_cercano,med_ambiguo,med_dir,consumo_prom,consumo_mediana,estrato_moda,med_estrato1,med_estrato2,med_estrato3,med_estrato4,med_estrato5,med_estrato6,med_x_vivienda,med_x_ha
0500110000000006010918,05001,1,46.0,47.0,46.0,0.0,40.0,6.0,0.0,0.0,0.0,149.0,0.1242732379901126,44.0,43.0,1.0,0.0,39.0,5.0,0.0,0.0,136.6,109.8,2.0,0.0,43.0,0.0,0.0,0.0,0.0,0.96,354.1
0500110000000006010921,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.521335681970208,37.0,23.0,7.0,3.0,18.0,19.0,0.0,0.0,130.2,107.4,2.0,0.0,23.0,0.0,0.0,0.0,0.0,,8.2
0500110000000006020102,05001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14180901754622652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0500110000000006020103,05001,1,37.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0,0.0,141.0,0.15024004552604117,32.0,32.0,0.0,0.0,14.0,18.0,7.0,0.0,156.4,122.7,2.0,0.0,32.0,0.0,0.0,0.0,0.0,0.86,213.0
0500110000000006020104,05001,1,34.0,32.0,32.0,1.0,31.0,0.0,0.0,0.0,0.0,78.0,0.12192650229503127,36.0,36.0,0.0,0.0,19.0,17.0,0.0,0.0,109.0,102.7,2.0,0.0,36.0,0.0,0.0,0.0,0.0,1.06,295.3
0500110000000006020105,05001,1,31.0,31.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,109.0,0.09225839215093441,22.0,22.0,0.0,0.0,15.0,7.0,1.0,1.0,105.7,85.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.71,238.5
0500110000000006020107,05001,1,39.0,36.0,35.0,0.0,33.0,2.0,0.0,0.0,0.0,119.0,0.12282463544952327,27.0,27.0,0.0,0.0,18.0,9.0,0.0,0.0,126.7,109.8,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.69,219.8
0500110000000006020108,05001,1,31.0,28.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,95.0,0.0944980691787975,22.0,22.0,0.0,0.0,18.0,4.0,0.0,0.0,135.0,112.8,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.71,232.8
0500110000000006020111,05001,1,52.0,51.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,182.0,0.2162101854116626,52.0,52.0,0.0,0.0,30.0,22.0,3.0,1.0,116.5,108.8,2.0,0.0,52.0,0.0,0.0,0.0,0.0,1.0,240.5
0500110000000006020112,05001,1,61.0,47.0,47.0,0.0,47.0,0.0,0.0,0.0,0.0,136.0,0.17705906958001308,28.0,27.0,1.0,0.0,27.0,1.0,1.0,0.0,111.8,99.4,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.46,158.1
0500110000000006020113,05001,1,30.0,29.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,79.0,0.15365436704603622,51.0,49.0,2.0,0.0,23.0,28.0,23.0,4.0,131.0,116.7,2.0,0.0,49.0,0.0,0.0,0.0,0.0,1.7,331.9
0500110000000006020114,05001,1,31.0,31.0,31.0,25.0,3.0,0.0,0.0,0.0,0.0,98.0,0.1370871823967206,14.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,124.3,115.1,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.45,102.1
0500110000000006020115,05001,1,36.0,33.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,113.0,0.1336595202409555,41.0,37.0,4.0,0.0,24.0,17.0,3.0,0.0,131.7,127.2,2.0,0.0,37.0,0.0,0.0,0.0,0.0,1.14,306.7
0500110000000006020116,05001,1,48.0,48.0,47.0,0.0,47.0,0.0,0.0,0.0,0.0,167.0,0.16845421995935936,44.0,41.0,3.0,0.0,25.0,19.0,0.0,0.0,114.4,104.3,2.0,0.0,41.0,0.0,0.0,0.0,0.0,0.92,261.2
0500110000000006020117,05001,1,35.0,34.0,34.0,1.0,33.0,0.0,0.0,0.0,0.0,94.0,0.10398553445714692,34.0,33.0,1.0,0.0,15.0,19.0,11.0,0.0,122.0,108.6,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.97,327.0
0500110000000006020118,05001,1,43.0,44.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,141.0,0.16490100741731595,44.0,43.0,1.0,0.0,33.0,11.0,0.0,0.0,124.6,125.9,2.0,0.0,43.0,0.0,0.0,0.0,0.0,1.02,266.8
